[82, 1019, 'on', 1]
[62, 1020, 'off', 3]
[86, 1021, 'off', 1]
[70, 1030, 'on', 3]
[79, 1030, 'on', 1]
[67, 1031, 'off', 3]
[82, 1031, 'off', 1]
[70, 1052, 'off', 3]
[79, 1052, 'off', 1]
[50, 1060, 'on', 3]
[93, 1060, 'off', 1]
[93, 1060, 'on', 1]
[57, 1070, 'on', 3]
[50, 1071, 'off', 3]
[62, 1080, 'on', 3]
[57, 1080, 'off', 3]
[65, 1090, 'on', 3]
[62, 1090, 'off', 3]
[69, 1099, 'on', 2]
[88, 1099, 'on', 1]
[65, 1100, 'off', 3]
[72, 1109, 'on', 2]
[69, 1110, 'off', 2]
[76, 1119, 'on', 2]
[72, 1119, 'off', 2]
[72, 1128, 'on', 2]
[76, 1129, 'off', 2]
[69, 1138, 'on', 2]
[72, 1139, 'off', 2]
[65, 1148, 'on', 2]
[69, 1148, 'off', 2]
[69, 1157, 'on', 2]
[84, 1157, 'on', 1]
[65, 1158, 'off', 2]
[88, 1159, 'off', 1]
[72, 1167, 'on', 2]
[88, 1167, 'on', 1]
[69, 1168, 'off', 2]
[84, 1168, 'off', 1]
[55, 1178, 'on', 3]
[86, 1178, 'on', 1]
[72, 1178, 'off', 2]
[88, 1178, 'off', 1]
[62, 1188, 'on', 3]
[55, 1189, 'off', 3]
[67, 1199, 'on', 3]
[82, 1199, 'on', 1]
[62, 1199, 'off', 3]
[86, 1201, 'off', 1]
[70, 1210, 'on', 3]
[79, 1210, 'on', 1]
[67, 1211, 'off', 3]
[82, 1211, 'off', 1]
[70, 1220, 'off', 3]
[79, 1220, 'off', 1]
[48, 1222, 'on for the first time', 3]
[91, 1222, 'off', 1]
[91, 1222, 'on', 1]
[55, 1232, 'on', 3]
[48, 1233, 'off for the first time', 3]
[64, 1242, 'on for the first time', 3]
[55, 1242, 'off', 3]
[67, 1251, 'on', 3]
[64, 1252, 'off for the first time', 3]
[70, 1261, 'on', 2]
[86, 1261, 'on', 1]
[67, 1261, 'off', 3]
[74, 1270, 'on', 2]
[70, 1271, 'off', 2]
[76, 1280, 'on', 2]
[74, 1281, 'off', 2]
[74, 1290, 'on', 2]
[76, 1290, 'off', 2]
[74, 1298, 'off', 2]
[70, 1299, 'on', 2]
[74, 1309, 'on', 2]
[70, 1310, 'off', 2]
[70, 1319, 'on', 2]
[82, 1319, 'on', 1]
[74, 1320, 'off', 2]
[86, 1321, 'off', 1]
[67, 1329, 'on', 2]
[86, 1329, 'on', 1]
[70, 1329, 'off', 2]
[82, 1329, 'off', 1]
[53, 1338, 'on', 3]
[84, 1338, 'on', 1]
[67, 1339, 'off', 2]
[86, 1339, 'off', 1]
[60, 1348, 'on', 3]
[53, 1349, 'off', 3]
[65, 1358, 'on', 3]
[81, 1358, 'on', 1]
[60, 1359, 'off', 3]
[84, 1360, 'off', 1]
[69, 1368, 'on', 3]
[79, 1368, 'on', 1]
[65, 1369, 'off', 3]
[81, 1369, 'off', 1]
[69, 1377, 'off', 3]
[57, 1379, 'on', 3]
[81, 1379, 'on', 1]
[79, 1379, 'off', 1]
[64, 1389, 'on', 3]
[57, 1390, 'off', 3]
[69, 1399, 'on', 3]
[72, 1399, 'on', 4]
[76, 1399, 'on', 1]
[64, 1399, 'off', 3]
[81, 1401, 'off', 1]
[64, 1409, 'on', 3]
[81, 1409, 'on', 1]
[69, 1409, 'off', 3]
[76, 1409, 'off', 1]
[62, 1419, 'on', 3]
[72, 1419, 'off', 4]
[77, 1419, 'on', 1]
[64, 1419, 'off', 3]
[81, 1419, 'off', 1]
[69, 1429, 'on', 3]
[62, 1430, 'off', 3]
[65, 1440, 'on', 3]
[65, 1440, 'off', 3]
[65, 1440, 'on', 4]
[74, 1440, 'on', 1]
[69, 1440, 'off', 3]
[77, 1442, 'off', 1]
[62, 1451, 'on', 3]
[77, 1451, 'on', 1]
[74, 1452, 'off', 1]
[55, 1463, 'on', 3]
[65, 1463, 'off', 4]
[74, 1463, 'on', 1]
[62, 1464, 'off', 3]
[77, 1464, 'off', 1]
[65, 1475, 'on', 3]
[55, 1475, 'off', 3]
[67, 1485, 'on', 3]
[65, 1486, 'off', 3]
[67, 1496, 'off', 3]
[67, 1496, 'on', 2]
[70, 1496, 'on', 2]
[48, 1508, 'on', 3]
[72, 1508, 'on', 1]
[67, 1509, 'off', 2]
[70, 1509, 'off', 2]
[74, 1511, 'off', 1]
[55, 1522, 'on', 3]
[48, 1523, 'off', 3]
[64, 1538, 'on', 3]
[55, 1539, 'off', 3]
[67, 1557, 'on', 2]
[70, 1557, 'on', 2]
[64, 1559, 'off', 3]
[72, 1600, 'off', 1]
[41, 1601, 'on for the first time', 3]
[84, 1601, 'on', 4]
[87, 1601, 'on for the first time', 1]
[96, 1601, 'on for the first time', 4]
[67, 1601, 'off', 2]
[70, 1601, 'off', 2]
[53, 1610, 'on', 3]
[41, 1611, 'off for the first time', 3]
[60, 1620, 'on', 3]
[53, 1620, 'off', 3]
[63, 1629, 'on for the first time', 3]
[60, 1630, 'off', 3]
[67, 1639, 'on', 3]
[79, 1639, 'on', 4]
[91, 1639, 'off', 1]
[91, 1639, 'on', 4]
[63, 1640, 'off for the first time', 3]
[84, 1641, 'off', 4]
[96, 1641, 'off for the first time', 4]
[69, 1649, 'on', 3]
[67, 1649, 'off', 3]
[72, 1658, 'on', 3]
[69, 1659, 'off', 3]
[75, 1668, 'on for the first time', 3]
[72, 1668, 'off', 3]
[79, 1678, 'off', 4]
[79, 1678, 'on', 2]
[75, 1678, 'off for the first time', 3]
[75, 1687, 'on', 2]
[72, 1697, 'on', 2]
[81, 1697, 'on', 4]
[93, 1697, 'off', 1]
[93, 1697, 'on', 4]
[75, 1697, 'off', 2]
[79, 1699, 'off', 4]
[69, 1706, 'on', 2]
[82, 1706, 'on', 4]
[94, 1706, 'on for the first time', 4]
[72, 1707, 'off', 2]
[81, 1707, 'off', 4]
[67, 1717, 'on', 2]
[84, 1717, 'on', 4]
[87, 1717, 'off for the first time', 1]
[87, 1717, 'on', 1]
[96, 1717, 'on', 4]
[69, 1717, 'off', 2]
[82, 1717, 'off', 4]
[94, 1717, 'off for the first time', 4]
[63, 1726, 'on', 3]
[67, 1727, 'off', 2]
[60, 1736, 'on', 3]
[81, 1736, 'on', 4]
[93, 1736, 'off', 1]
[93, 1736, 'on', 4]
[63, 1737, 'off', 3]
[84, 1738, 'off', 4]
[96, 1738, 'off', 4]
[53, 1747, 'on', 3]
[79, 1747, 'on', 4]
[91, 1747, 'off', 1]
[91, 1747, 'on', 4]
[60, 1747, 'off', 3]
[81, 1747, 'off', 4]
[53, 1756, 'off', 3]
[41, 1758, 'on', 3]
[81, 1758, 'on', 4]
[87, 1758, 'off', 1]
[87, 1758, 'on', 1]
[93, 1758, 'off', 1]
[93, 1758, 'on', 4]
[79, 1759, 'off', 4]
[53, 1769, 'on', 3]
[41, 1770, 'off', 3]
[77, 1772, 'on', 4]
[89, 1772, 'on', 4]
[81, 1774, 'off', 4]
[60, 1779, 'on', 3]
[53, 1780, 'off', 3]
[81, 1785, 'on', 4]
[93, 1785, 'off', 1]
[93, 1785, 'on', 4]
[77, 1787, 'off', 4]
[89, 1787, 'off', 4]
[63, 1788, 'on', 3]
[60, 1789, 'off', 3]
[67, 1798, 'on', 3]
[79, 1798, 'on', 4]
[87, 1798, 'off', 1]
[87, 1798, 'on', 1]
[91, 1798, 'off', 1]
[91, 1798, 'on', 4]
[63, 1799, 'off', 3]
[81, 1799, 'off', 4]
[69, 1807, 'on', 3]
[67, 1808, 'off', 3]
[72, 1817, 'on', 3]
[69, 1817, 'off', 3]
[75, 1826, 'on', 3]
[72, 1827, 'off', 3]
[79, 1836, 'off', 4]
[79, 1836, 'on', 2]
[75, 1836, 'off', 3]
[75, 1845, 'on', 2]
[72, 1855, 'on', 2]
[75, 1856, 'off', 2]
[69, 1865, 'on', 2]
[72, 1865, 'off', 2]
[67, 1874, 'on', 2]
[75, 1874, 'on', 4]
[79, 1874, 'off', 4]
[84, 1874, 'on', 1]
[87, 1874, 'off', 1]
[87, 1874, 'on', 4]
[69, 1875, 'off', 2]
[63, 1884, 'on', 3]
[67, 1885, 'off', 2]
[60, 1895, 'on', 3]
[79, 1895, 'on', 4]
[84, 1895, 'off', 1]
[91, 1895, 'off', 1]
[91, 1895, 'on', 4]
[63, 1895, 'off', 3]
[75, 1897, 'off', 4]
[87, 1897, 'off', 4]
[53, 1905, 'on', 3]
[60, 1906, 'off', 3]
[46, 1917, 'on for the first time', 3]
[81, 1917, 'on', 4]
[86, 1917, 'on', 1]
[93, 1917, 'off', 1]
[93, 1917, 'on', 4]
[53, 1917, 'off', 3]
[79, 1919, 'off', 4]
[53, 1927, 'on', 3]
[46, 1927, 'off for the first time', 3]
[58, 1936, 'on for the first time', 3]
[82, 1936, 'on', 4]
[94, 1936, 'on', 4]
[53, 1937, 'off', 3]
[81, 1938, 'off', 4]
[62, 1945, 'on', 3]
[58, 1946, 'off for the first time', 3]
[65, 1954, 'on', 3]
[77, 1954, 'on', 4]
[86, 1954, 'off', 1]
[86, 1954, 'on', 1]
[89, 1954, 'on', 4]
[62, 1955, 'off', 3]
[82, 1956, 'off', 4]
[94, 1956, 'off', 4]
[70, 1964, 'on', 3]
[65, 1964, 'off', 3]
[74, 1973, 'on', 3]
[70, 1974, 'off', 3]
[77, 1983, 'off', 4]
[77, 1983, 'on', 3]
[74, 1983, 'off', 3]
[74, 1993, 'on', 2]
[70, 2002, 'on', 2]
[74, 2003, 'off', 2]
[65, 2011, 'on', 2]
[70, 2012, 'off', 2]
[62, 2021, 'on', 3]
[65, 2021, 'off', 2]
[58, 2030, 'on', 3]
[77, 2030, 'off', 4]
[81, 2030, 'on', 4]
[86, 2030, 'off', 1]
[86, 2030, 'on', 1]
[89, 2030, 'off', 4]
[93, 2030, 'off', 1]
[93, 2030, 'on', 4]
[62, 2030, 'off', 3]
[53, 2039, 'on', 3]
[58, 2040, 'off', 3]
[46, 2049, 'on', 3]
[82, 2049, 'on', 4]
[94, 2049, 'on', 4]
[53, 2049, 'off', 3]
[81, 2051, 'off', 4]
[53, 2059, 'on', 3]
[46, 2060, 'off', 3]
[53, 2068, 'off', 3]
[46, 2070, 'on', 3]
[84, 2070, 'on', 4]
[86, 2070, 'off', 1]
[89, 2070, 'on', 1]
[96, 2070, 'on', 4]
[82, 2072, 'off', 4]
[94, 2072, 'off', 4]
[53, 2080, 'on', 3]
[46, 2081, 'off', 3]
[58, 2090, 'on', 3]
[86, 2090, 'on', 4]
[98, 2090, 'on for the first time', 4]
[53, 2090, 'off', 3]
[84, 2092, 'off', 4]
[96, 2092, 'off', 4]
[62, 2099, 'on', 3]
[58, 2100, 'off', 3]
[65, 2109, 'on', 2]
[81, 2109, 'on', 4]
[86, 2109, 'off', 4]
[86, 2109, 'on', 1]
[93, 2109, 'off', 1]
[93, 2109, 'on', 4]
[62, 2109, 'off', 3]
[98, 2110, 'off for the first time', 4]
[70, 2118, 'on', 2]
[65, 2119, 'off', 2]
[74, 2127, 'on', 2]
[70, 2128, 'off', 2]
[77, 2136, 'on', 2]
[74, 2137, 'off', 2]
[74, 2146, 'on', 2]
[89, 2146, 'off', 1]
[77, 2146, 'off', 2]
[70, 2155, 'on', 2]
[74, 2155, 'off', 2]
[65, 2164, 'on', 2]
[70, 2164, 'off', 2]
[62, 2173, 'on', 3]
[65, 2173, 'off', 2]
[58, 2182, 'on', 3]
[81, 2182, 'off', 4]
[82, 2182, 'on', 4]
[86, 2182, 'off', 1]
[86, 2182, 'on', 1]
[94, 2182, 'on', 4]
[62, 2182, 'off', 3]
[53, 2191, 'on', 3]
[58, 2192, 'off', 3]
[46, 2202, 'on for the last time', 3]
[86, 2202, 'off', 1]
[86, 2202, 'on', 4]
[98, 2202, 'on', 4]
[53, 2203, 'off', 3]
[82, 2204, 'off', 4]
[94, 2204, 'off', 4]
[53, 2213, 'on', 3]
[46, 2214, 'off for the last time', 3]
[53, 2224, 'off', 3]
[43, 2226, 'on for the first time', 3]
[89, 2226, 'on', 4]
[97, 2226, 'on for the first time', 1]
[101, 2226, 'on for the first time', 4]
[86, 2228, 'off', 4]
[98, 2228, 'off', 4]
[55, 2237, 'on', 3]
[43, 2237, 'off for the first time', 3]
[61, 2246, 'on for the first time', 3]
[55, 2247, 'off', 3]
[65, 2256, 'on', 3]
[61, 2256, 'off for the first time', 3]
[69, 2265, 'on', 2]
[85, 2265, 'on for the first time', 4]
[97, 2265, 'off for the first time', 1]
[97, 2265, 'on', 4]
[65, 2265, 'off', 3]
[89, 2267, 'off', 4]
[101, 2267, 'off for the first time', 4]
[73, 2274, 'on for the first time', 2]
[69, 2275, 'off', 2]
[77, 2283, 'on', 2]
[73, 2284, 'off for the first time', 2]
[81, 2292, 'on', 2]
[77, 2293, 'off', 2]
[81, 2301, 'off', 2]
[55, 2302, 'on', 3]
[85, 2302, 'off for the first time', 4]
[97, 2302, 'off', 4]
[62, 2312, 'on', 3]
[55, 2313, 'off', 3]
[65, 2322, 'on', 3]
[81, 2322, 'on', 4]
[86, 2322, 'on', 1]
[62, 2322, 'off', 3]
[69, 2331, 'on', 3]
[88, 2331, 'on', 1]
[65, 2331, 'off', 3]
[86, 2331, 'off', 1]
[74, 2340, 'on', 2]
[89, 2340, 'on', 1]
[69, 2341, 'off', 3]
[88, 2341, 'off', 1]
[69, 2350, 'on', 2]
[74, 2350, 'off', 2]
[89, 2358, 'off', 1]
[65, 2360, 'on', 2]
[89, 2360, 'on', 1]
[69, 2360, 'off', 2]
[62, 2371, 'on', 3]
[93, 2371, 'off', 1]
[93, 2371, 'on', 1]
[65, 2372, 'off', 2]
[89, 2372, 'off', 1]
[43, 2392, 'on', 3]
[81, 2392, 'off', 4]
[89, 2392, 'on', 4]
[97, 2392, 'on', 1]
[101, 2392, 'on', 4]
[62, 2394, 'off', 3]
[55, 2405, 'on', 3]
[43, 2405, 'off', 3]
[61, 2414, 'on for the last time', 3]
[55, 2415, 'off', 3]
[65, 2423, 'on', 3]
[61, 2424, 'off for the last time', 3]
[69, 2432, 'on', 2]
[85, 2432, 'on', 4]
[89, 2432, 'off', 4]
[97, 2432, 'off', 1]
[97, 2432, 'on', 4]
[101, 2432, 'off', 4]
[65, 2433, 'off', 3]
[73, 2441, 'on', 2]
[69, 2442, 'off', 2]
[77, 2451, 'on', 2]
[73, 2451, 'off', 2]
[81, 2460, 'on', 2]
[77, 2461, 'off', 2]
[81, 2468, 'off', 2]
[55, 2470, 'on', 3]
[85, 2470, 'off', 4]
[97, 2470, 'off', 4]
[62, 2480, 'on', 3]
[55, 2480, 'off', 3]
[65, 2489, 'on', 3]
[81, 2489, 'on', 4]
[86, 2489, 'on', 1]
[62, 2490, 'off', 3]
[69, 2499, 'on', 3]
[88, 2499, 'on', 1]
[65, 2499, 'off', 3]
[86, 2499, 'off', 1]
[74, 2508, 'on', 2]
[89, 2508, 'on', 1]
[69, 2509, 'off', 3]
[88, 2509, 'off', 1]
[69, 2518, 'on', 2]
[74, 2518, 'off', 2]
[89, 2526, 'off', 1]
[65, 2528, 'on', 3]
[89, 2528, 'on', 1]
[69, 2528, 'off', 2]
[62, 2538, 'on', 3]
[93, 2538, 'off', 1]
[93, 2538, 'on', 1]
[65, 2538, 'off', 3]
[89, 2538, 'off', 1]
[62, 2546, 'off', 3]
[55, 2548, 'on', 3]
[81, 2548, 'off', 4]
[81, 2548, 'on', 4]
[89, 2548, 'on', 1]
[62, 2559, 'on', 3]
[55, 2559, 'off', 3]
[65, 2568, 'on', 3]
[74, 2568, 'on', 4]
[81, 2568, 'off', 4]
[89, 2568, 'off', 1]
[62, 2569, 'off', 3]
[69, 2578, 'on', 3]
[76, 2578, 'on', 4]
[65, 2578, 'off', 3]
[74, 2578, 'off', 4]
[74, 2587, 'on', 2]
[77, 2587, 'on', 4]
[69, 2588, 'off', 3]
[76, 2588, 'off', 4]
[69, 2597, 'on', 2]
[74, 2597, 'off', 2]
[77, 2605, 'off', 4]
[65, 2606, 'on', 3]
[77, 2606, 'on', 4]
[69, 2607, 'off', 2]
[62, 2616, 'on', 3]
[81, 2616, 'on', 4]
[65, 2617, 'off', 3]
[77, 2617, 'off', 4]
[62, 2625, 'off', 3]
[55, 2627, 'on', 3]
[77, 2627, 'on', 4]
[81, 2627, 'off', 4]
[62, 2637, 'on', 3]
[55, 2638, 'off', 3]
[65, 2647, 'on', 3]
[62, 2648, 'off', 3]
[69, 2657, 'on', 3]
[65, 2658, 'off', 3]
[71, 2667, 'on for the first time', 3]
[74, 2667, 'on', 4]
[77, 2667, 'off', 4]
[69, 2668, 'off', 3]
[69, 2677, 'on', 3]
[71, 2678, 'off for the first time', 3]
[67, 2688, 'on', 3]
[69, 2689, 'off', 3]
[65, 2700, 'on', 3]
[67, 2700, 'off', 3]
[65, 2711, 'off', 3]
[48, 2713, 'on', 3]
[71, 2713, 'on', 1]
[55, 2724, 'on', 3]
[48, 2725, 'off', 3]
[60, 2735, 'on', 3]
[72, 2735, 'on', 4]
[74, 2735, 'off', 4]
[55, 2736, 'off', 3]
[71, 2737, 'off', 1]
[64, 2745, 'on', 3]
[60, 2746, 'off', 3]
[67, 2756, 'on', 2]
